English,Original,Seq2Seq,Attention
anri,অঁরি,অন্রী,অঁরি
ongsagrohonkari,অংশগ্রহনকারী,অংশগ্রহণকারী,অংশগ্রহনকারী
akshorgulo,অক্ষরগুলো,এক্ষরগুলো,অক্ষরগুলো
aksorgulo,অক্ষরগুলো,এক্সরগুলো,অক্ষরগুলো
akkhare,অক্ষরে,আক্ষারে,অক্ষরে
akkhorey,অক্ষরে,আক্ষরে,অক্ষরে
aksaforda,অক্সফোর্ড,এক্সফোর্ড,অক্সফোর্ড
aksaphoorda,অক্সফোর্ড,এক্সফোর্ড,অক্সফোর্ড
ooxfoord,অক্সফোর্ড,অক্সপোর্ড,অক্সফোর্ড
okshphorder,অক্সফোর্ডের,অক্সপোর্ডের,অক্সফোর্ডের
akhando,অখণ্ড,অখন্দ,অখণ্ড
okhondo,অখণ্ড,অখন্দ,অখণ্ড
aukhandota,অখন্ডতা,অখন্দতা,অখন্ডতা
ajaanta,অজন্তা,অজন্ত,অজন্তা
ojanta,অজন্তা,অজান্ত,অজন্তা
ajantar,অজন্তার,অজন্তর,অজন্তার
awejontar,অজন্তার,অভেযন্তর,অজন্তার
ojontar,অজন্তার,অজন্তর,অজন্তার
ajantei,অজান্তেই,আজন্তেই,অজান্তেই
aunchal,অঞ্চল,আঞ্চল,অঞ্চল
oncholyi,অঞ্চলই,অঞ্চল্যী,অঞ্চলই
oncoli,অঞ্চলই,অঞ্চলী,অঞ্চলই
otbir,অটবির,অত্বীর,অটবির
otobir,অটবির,অতবীর,অটবির
autocad,অটোক্যাড,অটোকাদ,অটোক্যাড
odit,অডিট,অদিত,অডিট
aditara,অডিটর,অদিতার,অডিটর
auditor,অডিটর,অদিতর,অডিটর
awtorkito,অতর্কিত,অওটররককিট,অতর্কিত
atite,অতীতে,এতিতে,অতীতে
oteete,অতীতে,অটিতে,অতীতে
otitey,অতীতে,অতিতে,অতীতে
oto,অতো,ওত,অতো
atyachar,অত্যাচার,অত্যচ্চার,অত্যাচার
ottachar,অত্যাচার,অত্তাচার,অত্যাচার
otyachare,অত্যাচারে,অট্যচচারে,অত্যাচারে
atyabassok,অত্যাবশ্যক,অত্যবস্ক,অত্যাবশ্যক
ottabassok,অত্যাবশ্যক,অত্তাবাসক,অত্যাবশ্যক
ottabassyak,অত্যাবশ্যক,অত্তবস্যক,অত্যাবশ্যক
otyabassyok,অত্যাবশ্যক,অত্যবাস্যক,অত্যাবশ্যক
otyabasyak,অত্যাবশ্যক,অত্যবাস্যক,অত্যাবশ্যক
atro,অত্র,আত্র,অত্র
adbhutbhabe,অদ্ভুতভাবে,অভ্ভুতভাবে,অদ্ভুতভাবে
adbhutbhabey,অদ্ভুতভাবে,অভ্ভুতভাবে,অদ্ভুতভাবে
adbhutvabey,অদ্ভুতভাবে,অভ্যুতভাবে,অদ্ভুতভাবে
advutbhabey,অদ্ভুতভাবে,অধ্বতভাবে,অদ্ভুতভাবে
adhikaron,অধিকরণ,অধিকারণ,অধিকরণ
odhikaron,অধিকরণ,অধিকারণ,অধিকরণ
odhikarta,অধিকর্তা,অধিকার্ত,অধিকর্তা
adhunalupta,অধুনালুপ্ত,আধুনালপুত্````````,অধুনালুপ্ত
anannya,অনন্য,অন্যান্য,অনন্য
anannyo,অনন্য,অনন্যা,অনন্য
anannata,অনন্যতা,অনন্নতা,অনন্যতা
onupat,অনুপাত,অনুপত,অনুপাত
anupate,অনুপাতে,অনুপতে,অনুপাতে
onupate,অনুপাতে,অনুপতে,অনুপাতে
onupunkho,অনুপুঙ্খ,অনুপংখ্য,অনুপুঙ্খ
anaitik,অনৈতিক,অনৈততিক,অনৈতিক
antarvukti,অন্তর্ভুক্তি,অন্তর্ভূক্তি,অন্তর্ভুক্তি
antorbhukti,অন্তর্ভুক্তি,অন্তর্ভূক্তি,অন্তর্ভুক্তি
antorbhuktir,অন্তর্ভুক্তির,অন্তর্ভূক্তির,অন্তর্ভুক্তির
antorvuktir,অন্তর্ভুক্তির,অন্তর্ভূক্তির,অন্তর্ভুক্তির
antu,অন্তু,অ্যান্টু,অন্তু
opodoshtho,অপদস্থ,অপদ্্ত,অপদস্থ
aporuupaa,অপরূপা,অপরুপা,অপরূপা
aparag,অপারগ,অপরাগ,অপারগ
aparog,অপারগ,অপরাগ,অপারগ
apraatistthanik,অপ্রাতিষ্ঠানিক,অপ্রতিষ্ঠানিক,অপ্রাতিষ্ঠানিক
aprathishthhanik,অপ্রাতিষ্ঠানিক,অপ্রািষ্ঠানিক,অপ্রাতিষ্ঠানিক
opraatistthanik,অপ্রাতিষ্ঠানিক,অপ্রতিষ্ঠানিক,অপ্রাতিষ্ঠানিক
abatarer,অবতারের,অবতরের,অবতারের
obotarer,অবতারের,অবতরের,অবতারের
abos,অবশ,আবস,অবশ
abasar,অবসর,আবসার,অবসর
abasarbhata,অবসরভাতা,অবসরভাট,অবসরভাতা
obosthatei,অবস্থাতেই,অবস্থাটেই,অবস্থাতেই
abasthantor,অবস্থান্তর,অবস্থানটতর,অবস্থান্তর
abosthantor,অবস্থান্তর,অবস্থানটতর,অবস্থান্তর
abosha,অবস্হা,অবশ্য,অবস্হা
abanijjik,অবাণিজ্যিক,অবনিজ্যিক,অবাণিজ্যিক
abanijyok,অবাণিজ্যিক,অবনিজ্যক,অবাণিজ্যিক
avidhanti,অভিধানটি,অভিধনটি,অভিধানটি
abhinita,অভিনীত,অভিনিত,অভিনীত
obheenita,অভিনীত,অভিনিত,অভিনীত
obheenito,অভিনীত,অভিনিত,অভিনীত
obhinito,অভিনীত,অভিনিত,অভিনীত
ovineeto,অভিনীত,অভিনিত,অভিনীত
ovinito,অভিনীত,অভিনিত,অভিনীত
abheeneta,অভিনেতা,অভিনেত,অভিনেতা
abhineta,অভিনেতা,অভিনেট,অভিনেতা
abheenetader,অভিনেতাদের,অভিনেতদের,অভিনেতাদের
abhinetader,অভিনেতাদের,অভিনেতদের,অভিনেতাদের
avinetara,অভিনেতারা,অভিনেতার,অভিনেতারা
oveddyo,অভেদ্য,ওভেদ্য,অভেদ্য
ovedyo,অভেদ্য,ওভেদ্য,অভেদ্য
amni,অমনি,আমনি,অমনি
omor,অমর,ওমর,অমর
omorotto,অমরত্ব,অমরত্ত,অমরত্ব
arijan,অরিজিন,অরিজা,অরিজিন
origan,অরিজিন,অরিগান,অরিজিন
original,অরিজিনাল,অরিগিনাল,অরিজিনাল
alonkarone,অলঙ্করণে,অলঙকরণে,অলঙ্করণে
alngkoroner,অলঙ্করণের,অলংকরণের,অলঙ্করণের
alimpiksa,অলিম্পিক্স,অলিমিক্স,অলিম্পিক্স
alimpiksha,অলিম্পিক্স,অলিমিক্কা,অলিম্পিক্স
alimpiqsa,অলিম্পিক্স,আলিমিক্স,অলিম্পিক্স
olympics,অলিম্পিক্স,অলিমিক্স,অলিম্পিক্স
ashlil,অশ্লীল,অসলিল,অশ্লীল
asleel,অশ্লীল,আসলিল,অশ্লীল
osleel,অশ্লীল,অসলিল,অশ্লীল
ashlilata,অশ্লীলতা,অস্লিলত,অশ্লীলতা
asleelota,অশ্লীলতা,অস্লেল,অশ্লীলতা
oslilota,অশ্লীলতা,অস্লিলতা,অশ্লীলতা
ashlilatar,অশ্লীলতার,অস্লিলতার,অশ্লীলতার
oshlilotar,অশ্লীলতার,অস্লিটার,অশ্লীলতার
ashachetanata,অসচেতনতা,অসচেতনাতঃ,অসচেতনতা
asochetonta,অসচেতনতা,অসচেনতন্ত,অসচেতনতা
asatorkotar,অসতর্কতার,অসাতরকাতার,অসতর্কতার
ashatarkotar,অসতর্কতার,অসাতারকতার,অসতর্কতার
asantoser,অসন্তোষের,অসন্তঃসের,অসন্তোষের
osontoser,অসন্তোষের,অসন্তঃসের,অসন্তোষের
ashamatal,অসমতল,আসমাতল,অসমতল
asamartha,অসমর্থ,অসমরর্থ,অসমর্থ
ashamartho,অসমর্থ,অসমার্থ,অসমর্থ
asammato,অসম্মত,অসমমমত,অসম্মত
ashammata,অসম্মত,অসমমমাতা,অসম্মত
asaha,অসহ,অসাহ,অসহ
asamajik,অসামাজিক,অসমাজিক,অসামাজিক
oshamajik,অসামাজিক,অশামাজিক,অসামাজিক
ostheesandhite,অস্থিসন্ধিতে,অস্থিনন্ধিতে,অস্থিসন্ধিতে
ostheesandhir,অস্থিসন্ধির,অস্থিনন্ধির,অস্থিসন্ধির
ahongkari,অহংকারী,আহঙকারী,অহংকারী
ahangkarer,অহংকারের,আহংকারের,অহংকারের
ohongkarer,অহংকারের,অহংকরের,অহংকারের
aabaar,অাবার,আবার,অাবার
aabar,অাবার,আবার,অাবার
adminishtration,অ্যাডমিনিস্ট্রেশন,আডমিন্ডিস্টেরন,অ্যাডমিনিস্ট্রেশন
admistreshon,অ্যাডমিনিস্ট্রেশন,অ্যাড্ম্ট্রসেটন,অ্যাডমিনিস্ট্রেশন
